"id","name","code","duration","type","theoriticalHour","practicalHour","selfstudyHour","prerequisiteCode"
"62","Truyền thông đa phương tiện","INT3305","3","Khối kiến thức ngành","45",,NULL,"INT2209"
"63","An toàn và an ninh mạng","INT3307","3","Khối kiến thức ngành","39","6",NULL,"INT2209"
"64","Phân tích và thiết kế mạng máy tính","INT3309","3","Khối kiến thức ngành","24","6","15","INT2209"
"65","Quản trị mạng","INT3310","3","Khối kiến thức ngành","30","15",,"INT2209"
"66","Khoa học dịch vụ","INT3501","3","Khối kiến thức ngành","45",NULL,NULL,"INT1003"
"67","Kiến trúc hướng dịch vụ","INT3505","3","Khối kiến thức ngành","45",NULL,NULL,"INT2204"
"68","Các hệ thống thương mại điện tử","INT3506","3","Khối kiến thức ngành","45",NULL,NULL,"INT1003"
"69","Xử lý ảnh","INT3404","3","Khối kiến thức ngành","45",NULL,NULL,"INT2203"
"70","Tin sinh học","INT3407","3","Khối kiến thức ngành","45",NULL,NULL,"INT2202"
"71","Khóa luận tốt nghiệp","INT4050","7","Khóa luận tốt nghiệp",NULL,NULL,NULL,NULL
"72","Dự án","INT3509","4","Khóa luận tốt nghiệp","21",NULL,"39",NULL
"73","3 tín tự chọn từ danh sách các học phần tự chọn theo các định hướng mà sinh viên chưa học",,"3","Khóa luận tốt nghiệp",,NULL,,NULL
"74","Triết học Mác - Lênin","PHI1006","3","Khối kiến thức chung","30","15",NULL,NULL
"75","Kinh tế chính trị Mác - Lênin","PEC1008","2","Khối kiến thức chung","20","10",NULL,"PHI1006"
"76","Chủ nghĩa xã hội khoa học","PHI1002","2","Khối kiến thức chung","30",,NULL,
"77","Lịch sử Đảng Cộng sản Việt Nam","HIS1001","2","Khối kiến thức chung","20","10",NULL,
"78","Tư tưởng Hồ Chí Minh","POL1001","2","Khối kiến thức chung","20","10",NULL,
"79","Tiếng Anh B1","FLF1107","5","Khối kiến thức chung","20","35","20",
"80","Vật lý đại cương 1","EPN1095","2","Khối kiến thức theo lĩnh vực","30",NULL,NULL,NULL
"81","Vật lý đại cương 2","EPN1096","2","Khối kiến thức theo lĩnh vực","30",NULL,NULL,"EPN1095"
"82","Giới thiệu về Công nghệ thông tin","INT1007","3","Khối kiến thức theo lĩnh vực","15","30",NULL,
"83","Nhập môn lập trình","INT1008","3","Khối kiến thức theo lĩnh vực","20","25",NULL,
"84","Tín hiệu và hệ thống","ELT2035","3","Khối kiến thức theo khối ngành","45",NULL,NULL,"MAT1042"
"85","Cấu trúc dữ liệu và giải thuật","INT2210","4","Khối kiến thức theo khối ngành","30","30",NULL,"INT1008"
"86","Toán trong công nghệ","ELT2029","3","Khối kiến thức theo khối ngành","45",,NULL,"MAT1041"
"87","Lập trình nâng cao","INT2215","4","Khối kiến thức theo nhóm ngành","30","30",NULL,"INT1008"
"88","Kiến trúc máy tính","INT2212","4","Khối kiến thức theo nhóm ngành","45","15",NULL,"INT1007"
"89","Nguyên lý hệ điều hành","INT2214","4","Khối kiến thức theo nhóm ngành","45","15",NULL,"INT1008"
"90","Cơ sở dữ liệu","INT2211","4","Khối kiến thức theo nhóm ngành","30","30",NULL,"INT1008"
